"KVARTAL","Year","Quarter","Forbrug"
"1996K1",1996,1,194.8
"1996K2",1996,2,194.4
"1996K3",1996,3,194.3
"1996K4",1996,4,194.8
"1997K1",1997,1,197.7
"1997K2",1997,2,201.1
"1997K3",1997,3,197.3
"1997K4",1997,4,204
"1998K1",1998,1,202.4
"1998K2",1998,2,203.7
"1998K3",1998,3,205.7
"1998K4",1998,4,208.7
"1999K1",1999,1,206
"1999K2",1999,2,203.3
"1999K3",1999,3,205.1
"1999K4",1999,4,205.2
"2000K1",2000,1,205.4
"2000K2",2000,2,206
"2000K3",2000,3,206.1
"2000K4",2000,4,205
"2001K1",2001,1,205.9
"2001K2",2001,2,208.2
"2001K3",2001,3,207.1
"2001K4",2001,4,205.5
"2002K1",2002,1,208.7
"2002K2",2002,2,208.2
"2002K3",2002,3,210.9
"2002K4",2002,4,211
"2003K1",2003,1,209.2
"2003K2",2003,2,210.9
"2003K3",2003,3,213
"2003K4",2003,4,216.6
"2004K1",2004,1,217.5
"2004K2",2004,2,219
"2004K3",2004,3,223.9
"2004K4",2004,4,230.5
"2005K1",2005,1,226.2
"2005K2",2005,2,231.5
"2005K3",2005,3,234.3
"2005K4",2005,4,233.4
"2006K1",2006,1,237.9
"2006K2",2006,2,240
"2006K3",2006,3,235.3
"2006K4",2006,4,237.9
"2007K1",2007,1,240.3
"2007K2",2007,2,240.2
"2007K3",2007,3,242.8
"2007K4",2007,4,246
"2008K1",2008,1,246.1
"2008K2",2008,2,247.2
"2008K3",2008,3,243.6
"2008K4",2008,4,234.3
"2009K1",2009,1,232.2
"2009K2",2009,2,234.8
"2009K3",2009,3,235.1
"2009K4",2009,4,234.1
"2010K1",2010,1,237.7
"2010K2",2010,2,235.7
"2010K3",2010,3,236.9
"2010K4",2010,4,238.2
"2011K1",2011,1,235.2
"2011K2",2011,2,238.2
"2011K3",2011,3,238.6
"2011K4",2011,4,238.8
"2012K1",2012,1,237.4
"2012K2",2012,2,238.5
"2012K3",2012,3,238.1
"2012K4",2012,4,240.2
"2013K1",2013,1,241.7
"2013K2",2013,2,242.3
"2013K3",2013,3,242.3
"2013K4",2013,4,242.2
"2014K1",2014,1,239.5
"2014K2",2014,2,241.4
"2014K3",2014,3,242.2
"2014K4",2014,4,243.2
"2015K1",2015,1,242.4
"2015K2",2015,2,244.5
"2015K3",2015,3,248.7
"2015K4",2015,4,249.8
"2016K1",2016,1,252.7
"2016K2",2016,2,254
"2016K3",2016,3,254.1
"2016K4",2016,4,256.9
"2017K1",2017,1,259.3
"2017K2",2017,2,260.2
"2017K3",2017,3,260.6
"2017K4",2017,4,265.1
"2018K1",2018,1,269.6
"2018K2",2018,2,272.5
"2018K3",2018,3,271.6
"2018K4",2018,4,270.8
"2019K1",2019,1,274
"2019K2",2019,2,274.4
"2019K3",2019,3,275.2
"2019K4",2019,4,280.1
"2020K1",2020,1,272.9
"2020K2",2020,2,262.5
"2020K3",2020,3,274.1
"2020K4",2020,4,280.3
"2021K1",2021,1,270.1
"2021K2",2021,2,287.2
"2021K3",2021,3,292.6
"2021K4",2021,4,301
"2022K1",2022,1,280.8
"2022K2",2022,2,284.1
"2022K3",2022,3,282.3
"2022K4",2022,4,278.5
"2023K1",2023,1,277.6
"2023K2",2023,2,274.6
"2023K3",2023,3,271.3
"2023K4",2023,4,273.6
"2024K1",2024,1,274.6
"2024K2",2024,2,276.7
"2024K3",2024,3,277.8
"2024K4",2024,4,278.8
"2025K1",2025,1,281.4
"2025K2",2025,2,281.7
"2025K3",2025,3,282.1
